param#0 	 param#1 	 dist 	  wgt 
0.419356 	-1.804299 	40.088387 	0.006193 	
0.231343 	-0.933220 	40.230179 	0.011139 	
0.307809 	-1.074089 	23.285073 	0.010577 	
0.432345 	-1.827769 	34.118821 	0.005837 	
0.483684 	-1.838956 	32.118650 	0.005164 	
0.321131 	-1.254608 	35.830707 	0.010165 	
0.164207 	-1.064734 	35.302712 	0.014805 	
0.007083 	-0.500225 	35.025146 	0.012318 	
0.560721 	-2.172986 	39.146862 	0.002609 	
0.357642 	-1.512767 	34.644667 	0.008809 	
0.404322 	-1.821762 	37.583549 	0.006411 	
0.498744 	-1.694589 	34.103500 	0.006227 	
